工號,姓名,部門,email
14685,高夏澤,法務部,changwanhshing@gmail.com
81746,馬景靜,總務部,changwanhshing@gmail.com
30554,趙宜雄,業務部,changwanhshing@gmail.com
90825,郭淑秀,生產部,changwanhshing@gmail.com
81507,鄭秋翔,法務部,changwanhshing@gmail.com
18251,林惠麗,法務部,changwanhshing@gmail.com
54599,鄭宜澤,行銷部,changwanhshing@gmail.com
89817,鄭宏誠,客服部,changwanhshing@gmail.com
16613,高佳秀,財務部,changwanhshing@gmail.com
78105,曹忠偉,人事部,changwanhshing@gmail.com
19307,林大棟,倉儲部,changwanhshing@gmail.com
50198,黃志敏,稽核部,changwanhshing@gmail.com
97063,任慧鳳,稽核部,changwanhshing@gmail.com
49549,鄧峰芳,業務部,changwanhshing@gmail.com
32095,梁淑偉,人事部,changwanhshing@gmail.com
93916,丁信翔,生產部,changwanhshing@gmail.com
51484,梁雯雄,稽核部,changwanhshing@gmail.com
65517,朱桂昇,研發部,changwanhshing@gmail.com
28515,蔣家昇,總務部,changwanhshing@gmail.com
42651,趙大誠,採購部,changwanhshing@gmail.com
10998,韓冬玲,企劃部,changwanhshing@gmail.com
52812,黃夏博,業務部,changwanhshing@gmail.com
30551,黃佳芳,品管部,changwanhshing@gmail.com
82736,馮信誠,企劃部,changwanhshing@gmail.com
10984,韓秋博,業務部,changwanhshing@gmail.com
39096,林宏龍,行銷部,changwanhshing@gmail.com
97908,馬仁明,財務部,changwanhshing@gmail.com
54887,周仁秀,生產部,changwanhshing@gmail.com
40344,吳大毅,品管部,changwanhshing@gmail.com
85999,鄧秀明,品管部,changwanhshing@gmail.com
49204,鄧冬林,資訊部,changwanhshing@gmail.com
47847,張欣誠,行銷部,changwanhshing@gmail.com
48254,鄧嘉澤,品管部,changwanhshing@gmail.com
50365,丁秀敏,財務部,changwanhshing@gmail.com
30676,黃忠賢,品管部,changwanhshing@gmail.com
87657,曹俊昇,企劃部,changwanhshing@gmail.com
25261,葉秋毅,生產部,changwanhshing@gmail.com
77711,鄭欣鳳,財務部,changwanhshing@gmail.com
45131,吳旭達,業務部,changwanhshing@gmail.com
70360,曹美淵,採購部,changwanhshing@gmail.com
75586,何宏雄,法務部,changwanhshing@gmail.com
41820,何春洋,人事部,changwanhshing@gmail.com
54765,唐桂麗,人事部,changwanhshing@gmail.com
95386,郭冬豪,客服部,changwanhshing@gmail.com
88143,孫淑芳,法務部,changwanhshing@gmail.com
63307,梁俊龍,採購部,changwanhshing@gmail.com
80995,彭仁洋,客服部,changwanhshing@gmail.com
27968,胡桂秀,總務部,changwanhshing@gmail.com
72007,彭仁玲,研發部,changwanhshing@gmail.com
44546,鄭冬毅,客服部,changwanhshing@gmail.com
36656,葉忠麗,財務部,changwanhshing@gmail.com
52830,丁夏燕,企劃部,changwanhshing@gmail.com
47326,林晨豪,研發部,changwanhshing@gmail.com
65405,蕭冬偉,客服部,changwanhshing@gmail.com
51501,王正傑,總務部,changwanhshing@gmail.com
53303,呂秀昇,客服部,changwanhshing@gmail.com
65159,唐正達,人事部,changwanhshing@gmail.com
65705,吳家麗,採購部,changwanhshing@gmail.com
68738,孫雯浩,研發部,changwanhshing@gmail.com
59721,杜桂宇,資訊部,changwanhshing@gmail.com
23726,杜峰超,客服部,changwanhshing@gmail.com
96667,曾麗龍,客服部,changwanhshing@gmail.com
68645,任嘉昇,法務部,changwanhshing@gmail.com
20781,李美宇,財務部,changwanhshing@gmail.com
36565,徐國偉,品管部,changwanhshing@gmail.com
64870,江忠雄,法務部,changwanhshing@gmail.com
20271,謝秋明,總務部,changwanhshing@gmail.com
52614,趙國豪,企劃部,changwanhshing@gmail.com
44710,羅俊輝,人事部,changwanhshing@gmail.com
99147,馬偉芳,法務部,changwanhshing@gmail.com
33294,江欣誠,採購部,changwanhshing@gmail.com
13431,謝淑誠,品管部,changwanhshing@gmail.com
46448,徐文昇,財務部,changwanhshing@gmail.com
43786,李慧博,客服部,changwanhshing@gmail.com
76398,朱慧林,行銷部,changwanhshing@gmail.com
99724,謝國輝,財務部,changwanhshing@gmail.com
66573,吳明靜,品管部,changwanhshing@gmail.com
67123,江雯文,企劃部,changwanhshing@gmail.com
86177,馬惠毅,品管部,changwanhshing@gmail.com
99763,梁秀偉,總務部,changwanhshing@gmail.com
37720,蔣惠樺,研發部,changwanhshing@gmail.com
61760,鄭明玲,資訊部,changwanhshing@gmail.com
80446,蕭嘉達,生產部,changwanhshing@gmail.com
30796,林義宇,生產部,changwanhshing@gmail.com
18230,杜建翔,業務部,changwanhshing@gmail.com
93769,羅慧宇,採購部,changwanhshing@gmail.com
89591,魏景毅,業務部,changwanhshing@gmail.com
25986,孫晴云,人事部,changwanhshing@gmail.com
23130,何惠昇,品管部,changwanhshing@gmail.com
50105,魏禮煌,品管部,changwanhshing@gmail.com
87517,謝夏浩,法務部,changwanhshing@gmail.com
61828,韓俊宇,業務部,changwanhshing@gmail.com
70987,程孝芳,採購部,changwanhshing@gmail.com
59489,唐家樺,稽核部,changwanhshing@gmail.com
29623,郭夏雄,行銷部,changwanhshing@gmail.com
47554,曾宜龍,採購部,changwanhshing@gmail.com
33160,呂嘉燕,業務部,changwanhshing@gmail.com
43210,林宜強,品管部,changwanhshing@gmail.com
53290,鄧惠文,業務部,changwanhshing@gmail.com
77468,李淑昇,客服部,changwanhshing@gmail.com
30069,梁信輝,倉儲部,changwanhshing@gmail.com
60095,曾嘉澤,品管部,changwanhshing@gmail.com
15961,曾宏昇,資訊部,changwanhshing@gmail.com
77571,楊雅云,客服部,changwanhshing@gmail.com
38947,楊淑強,法務部,changwanhshing@gmail.com
31103,謝秋龍,資訊部,changwanhshing@gmail.com
53347,程美鳳,總務部,changwanhshing@gmail.com
96860,江晨靜,人事部,changwanhshing@gmail.com
47953,高信娟,品管部,changwanhshing@gmail.com
78324,許淑豪,總務部,changwanhshing@gmail.com
63589,鄭慧洋,法務部,changwanhshing@gmail.com
10077,周欣龍,倉儲部,changwanhshing@gmail.com
66450,董宏勇,企劃部,changwanhshing@gmail.com
33947,高義林,稽核部,changwanhshing@gmail.com
58968,彭冬文,採購部,changwanhshing@gmail.com
45795,彭正傑,稽核部,changwanhshing@gmail.com
77649,韓美文,總務部,changwanhshing@gmail.com
73036,梁嘉芳,資訊部,changwanhshing@gmail.com
99890,楊宜云,業務部,changwanhshing@gmail.com
96240,鄭家森,倉儲部,changwanhshing@gmail.com
11513,丁旭輝,生產部,changwanhshing@gmail.com
47033,彭秋博,生產部,changwanhshing@gmail.com
92033,劉嘉樺,總務部,changwanhshing@gmail.com
72075,朱忠澤,生產部,changwanhshing@gmail.com
43784,唐晨澤,倉儲部,changwanhshing@gmail.com
57066,程惠超,研發部,changwanhshing@gmail.com
20796,唐建鳳,財務部,changwanhshing@gmail.com
61409,張昊麗,品管部,changwanhshing@gmail.com
24618,蕭惠勇,業務部,changwanhshing@gmail.com
24792,吳忠傑,行銷部,changwanhshing@gmail.com
83165,朱志豪,法務部,changwanhshing@gmail.com
84312,周佳龍,研發部,changwanhshing@gmail.com
21535,蘇旭鳳,財務部,changwanhshing@gmail.com
37977,徐欣淵,客服部,changwanhshing@gmail.com
56173,任桂毅,企劃部,changwanhshing@gmail.com
93518,劉桂敏,業務部,changwanhshing@gmail.com
35829,董春森,客服部,changwanhshing@gmail.com
55467,徐義洋,總務部,changwanhshing@gmail.com
65784,鄭慧林,企劃部,changwanhshing@gmail.com
64306,張欣云,客服部,changwanhshing@gmail.com
23252,梁冬燕,總務部,changwanhshing@gmail.com
77109,潘嘉超,客服部,changwanhshing@gmail.com
12351,吳禮宇,研發部,changwanhshing@gmail.com
34893,謝義澤,人事部,changwanhshing@gmail.com
81024,宋欣玲,稽核部,changwanhshing@gmail.com
68432,馮美浩,人事部,changwanhshing@gmail.com
27116,余雯淵,人事部,changwanhshing@gmail.com
48847,胡孝翔,行銷部,changwanhshing@gmail.com
82319,蘇旭云,業務部,changwanhshing@gmail.com
60519,周志翔,業務部,changwanhshing@gmail.com
44361,鄭淑娟,人事部,changwanhshing@gmail.com
95317,羅美玲,倉儲部,changwanhshing@gmail.com
44856,鄭文昇,企劃部,changwanhshing@gmail.com
81472,袁禮林,財務部,changwanhshing@gmail.com
59290,蔣春勇,企劃部,changwanhshing@gmail.com
11445,胡晴翔,倉儲部,changwanhshing@gmail.com
24061,程晨毅,品管部,changwanhshing@gmail.com
26438,李夏云,稽核部,changwanhshing@gmail.com
84702,任孝芳,企劃部,changwanhshing@gmail.com
83572,蘇仁鳳,研發部,changwanhshing@gmail.com
24242,曾淑賢,法務部,changwanhshing@gmail.com
81748,周家云,人事部,changwanhshing@gmail.com
19616,馮淑娟,稽核部,changwanhshing@gmail.com
41657,杜美賢,資訊部,changwanhshing@gmail.com
73346,周雅昇,行銷部,changwanhshing@gmail.com
42804,蕭美達,法務部,changwanhshing@gmail.com
28188,余建勇,企劃部,changwanhshing@gmail.com
34577,陳秀翔,生產部,changwanhshing@gmail.com
83360,許正達,業務部,changwanhshing@gmail.com
62328,鄧惠林,採購部,changwanhshing@gmail.com
25970,劉義燕,稽核部,changwanhshing@gmail.com
88692,曾志洋,研發部,changwanhshing@gmail.com
19711,杜宏林,資訊部,changwanhshing@gmail.com
38899,鄧信達,財務部,changwanhshing@gmail.com
35100,胡夏浩,稽核部,changwanhshing@gmail.com
94970,任偉娟,業務部,changwanhshing@gmail.com
77545,楊雯淵,客服部,changwanhshing@gmail.com
30419,杜麗毅,總務部,changwanhshing@gmail.com
37327,周秀龍,客服部,changwanhshing@gmail.com
14840,呂惠超,研發部,changwanhshing@gmail.com
85086,袁夏雄,生產部,changwanhshing@gmail.com
69586,何秋燕,品管部,changwanhshing@gmail.com
52717,馬國棟,稽核部,changwanhshing@gmail.com
11466,鄧信樺,人事部,changwanhshing@gmail.com
69805,潘禮雄,倉儲部,changwanhshing@gmail.com
27506,蘇晴博,企劃部,changwanhshing@gmail.com
28821,何大淵,稽核部,changwanhshing@gmail.com
14539,趙家毅,採購部,changwanhshing@gmail.com
13252,曾孝芳,採購部,changwanhshing@gmail.com
58093,李秀棟,資訊部,changwanhshing@gmail.com
49080,董淑誠,倉儲部,changwanhshing@gmail.com
39685,余明超,客服部,changwanhshing@gmail.com
79618,徐佳傑,客服部,changwanhshing@gmail.com
59899,劉惠煌,人事部,changwanhshing@gmail.com
24109,蔡志淵,資訊部,changwanhshing@gmail.com
37404,王明達,財務部,changwanhshing@gmail.com
35373,何國燕,業務部,changwanhshing@gmail.com
37240,楊旭文,稽核部,changwanhshing@gmail.com
33635,鄭禮靜,業務部,changwanhshing@gmail.com
37632,宋桂娟,稽核部,changwanhshing@gmail.com
30878,彭大強,研發部,changwanhshing@gmail.com
86781,唐文軍,人事部,changwanhshing@gmail.com
31710,蕭夏偉,品管部,changwanhshing@gmail.com
47092,程偉云,行銷部,changwanhshing@gmail.com
77998,何桂強,財務部,changwanhshing@gmail.com
99931,余信澤,行銷部,changwanhshing@gmail.com
34956,蔣正賢,稽核部,changwanhshing@gmail.com
44143,潘明博,總務部,changwanhshing@gmail.com
17412,梁宏煌,研發部,changwanhshing@gmail.com
28481,葉晴玲,業務部,changwanhshing@gmail.com
10893,徐淑達,業務部,changwanhshing@gmail.com
66934,袁大敏,行銷部,changwanhshing@gmail.com
77849,陳春翔,人事部,changwanhshing@gmail.com
70983,吳秀豪,生產部,changwanhshing@gmail.com
52798,郭國龍,品管部,changwanhshing@gmail.com
19514,馬美鳳,總務部,changwanhshing@gmail.com
12388,曾孝明,總務部,changwanhshing@gmail.com
32406,潘忠樺,總務部,changwanhshing@gmail.com
75085,楊秀昇,採購部,changwanhshing@gmail.com
90746,潘志傑,人事部,changwanhshing@gmail.com
18965,徐志明,客服部,changwanhshing@gmail.com
13113,江峰澤,財務部,changwanhshing@gmail.com
67408,李宏豪,人事部,changwanhshing@gmail.com
65112,楊春達,資訊部,changwanhshing@gmail.com
12564,蔣俊博,資訊部,changwanhshing@gmail.com
98746,呂正傑,稽核部,changwanhshing@gmail.com
24445,梁忠偉,人事部,changwanhshing@gmail.com
13546,徐建博,研發部,changwanhshing@gmail.com
46028,朱宜燕,採購部,changwanhshing@gmail.com
13832,徐桂毅,採購部,changwanhshing@gmail.com
73533,郭惠靜,總務部,changwanhshing@gmail.com
84395,黃明敏,採購部,changwanhshing@gmail.com
84092,鄧秀賢,行銷部,changwanhshing@gmail.com
79029,謝春玲,倉儲部,changwanhshing@gmail.com
21836,潘峰宇,總務部,changwanhshing@gmail.com
28923,徐俊麗,生產部,changwanhshing@gmail.com
80532,馬俊軍,業務部,changwanhshing@gmail.com
56435,徐美洋,財務部,changwanhshing@gmail.com
80211,郭晨鳳,財務部,changwanhshing@gmail.com
31270,任雅達,採購部,changwanhshing@gmail.com
10652,董義麗,企劃部,changwanhshing@gmail.com
44559,杜國林,倉儲部,changwanhshing@gmail.com
32660,王淑達,稽核部,changwanhshing@gmail.com
57117,蔡惠昇,倉儲部,changwanhshing@gmail.com
41753,陳夏靜,業務部,changwanhshing@gmail.com
35069,蔣佳麗,採購部,changwanhshing@gmail.com
14016,丁淑林,行銷部,changwanhshing@gmail.com
12803,黃大秀,法務部,changwanhshing@gmail.com
61149,程冬博,法務部,changwanhshing@gmail.com
17158,彭偉樺,客服部,changwanhshing@gmail.com
18852,梁桂云,生產部,changwanhshing@gmail.com
28678,蕭雯達,採購部,changwanhshing@gmail.com
33118,馬景達,財務部,changwanhshing@gmail.com
92128,曾義豪,法務部,changwanhshing@gmail.com
35678,曹晨林,客服部,changwanhshing@gmail.com
72866,陳惠煌,行銷部,changwanhshing@gmail.com
75547,葉義輝,品管部,changwanhshing@gmail.com
59620,任麗鳳,財務部,changwanhshing@gmail.com
82259,李春鳳,採購部,changwanhshing@gmail.com
14800,余旭樺,資訊部,changwanhshing@gmail.com
30525,余景毅,資訊部,changwanhshing@gmail.com
46459,潘惠勇,品管部,changwanhshing@gmail.com
14592,郭秋傑,採購部,changwanhshing@gmail.com
74822,林義強,品管部,changwanhshing@gmail.com
81743,彭晨龍,企劃部,changwanhshing@gmail.com
97443,周宏宇,法務部,changwanhshing@gmail.com
23139,孫宏強,採購部,changwanhshing@gmail.com
86023,劉大淵,研發部,changwanhshing@gmail.com
73725,蔣桂澤,資訊部,changwanhshing@gmail.com
36176,馮禮賢,業務部,changwanhshing@gmail.com
31949,葉慧毅,研發部,changwanhshing@gmail.com
44290,梁孝雄,稽核部,changwanhshing@gmail.com
83865,張仁棟,客服部,changwanhshing@gmail.com
81578,葉孝麗,行銷部,changwanhshing@gmail.com
16982,任峰博,倉儲部,changwanhshing@gmail.com
81966,程冬洋,生產部,changwanhshing@gmail.com
67774,梁佳勇,倉儲部,changwanhshing@gmail.com
35757,唐義燕,法務部,changwanhshing@gmail.com
71680,宋宏煌,生產部,changwanhshing@gmail.com
84205,謝孝博,企劃部,changwanhshing@gmail.com
64671,謝晨文,稽核部,changwanhshing@gmail.com
14792,杜大燕,總務部,changwanhshing@gmail.com
22651,許昊豪,總務部,changwanhshing@gmail.com
43528,梁信強,行銷部,changwanhshing@gmail.com
14985,劉明偉,行銷部,changwanhshing@gmail.com
48130,吳信芳,採購部,changwanhshing@gmail.com
91907,羅禮文,資訊部,changwanhshing@gmail.com
69943,劉孝燕,客服部,changwanhshing@gmail.com
44352,許建煌,總務部,changwanhshing@gmail.com
34561,任俊鳳,總務部,changwanhshing@gmail.com
71844,董家林,客服部,changwanhshing@gmail.com
29529,梁晨偉,業務部,changwanhshing@gmail.com
54438,孫晨誠,企劃部,changwanhshing@gmail.com
37251,董峰鳳,研發部,changwanhshing@gmail.com
85261,鄧大達,企劃部,changwanhshing@gmail.com
11623,孫偉浩,資訊部,changwanhshing@gmail.com
45163,林信靜,法務部,changwanhshing@gmail.com
71605,曹晴森,總務部,changwanhshing@gmail.com
92922,王仁秀,研發部,changwanhshing@gmail.com
52616,鄭志燕,品管部,changwanhshing@gmail.com
25944,宋偉淵,財務部,changwanhshing@gmail.com
76606,余偉麗,法務部,changwanhshing@gmail.com
71515,馬文文,資訊部,changwanhshing@gmail.com
14338,胡明龍,總務部,changwanhshing@gmail.com
19520,蕭俊棟,業務部,changwanhshing@gmail.com
23994,韓仁翔,行銷部,changwanhshing@gmail.com
91489,吳家林,資訊部,changwanhshing@gmail.com
17002,李景傑,生產部,changwanhshing@gmail.com
89897,林宏鳳,財務部,changwanhshing@gmail.com
15500,梁志洋,企劃部,changwanhshing@gmail.com
80571,呂晴超,生產部,changwanhshing@gmail.com
18742,宋大靜,研發部,changwanhshing@gmail.com
32574,曹禮秀,財務部,changwanhshing@gmail.com
72513,宋明秀,行銷部,changwanhshing@gmail.com
36986,蔣晨芳,採購部,changwanhshing@gmail.com
85527,劉晨毅,業務部,changwanhshing@gmail.com
11386,葉孝靜,品管部,changwanhshing@gmail.com
43129,蘇峰云,業務部,changwanhshing@gmail.com
85000,周旭毅,人事部,changwanhshing@gmail.com
22169,丁大強,品管部,changwanhshing@gmail.com
77111,趙秀輝,業務部,changwanhshing@gmail.com
23887,謝忠棟,財務部,changwanhshing@gmail.com
37934,曹雯誠,研發部,changwanhshing@gmail.com
93220,馬禮芳,行銷部,changwanhshing@gmail.com
69578,唐義秀,品管部,changwanhshing@gmail.com
17839,程慧澤,企劃部,changwanhshing@gmail.com
17906,何正勇,人事部,changwanhshing@gmail.com
31027,吳晴輝,總務部,changwanhshing@gmail.com
97811,曾正淵,研發部,changwanhshing@gmail.com
16077,曹惠超,生產部,changwanhshing@gmail.com
29384,蔡夏達,人事部,changwanhshing@gmail.com
92263,黃雅澤,倉儲部,changwanhshing@gmail.com
76856,馬家云,客服部,changwanhshing@gmail.com
96077,曹志煌,業務部,changwanhshing@gmail.com
53616,劉秀娟,資訊部,changwanhshing@gmail.com
75812,馮義軍,人事部,changwanhshing@gmail.com
37226,魏仁娟,行銷部,changwanhshing@gmail.com
74673,蕭嘉龍,採購部,changwanhshing@gmail.com
30364,杜秀鳳,稽核部,changwanhshing@gmail.com
75347,陳家宇,行銷部,changwanhshing@gmail.com
70805,程秋云,資訊部,changwanhshing@gmail.com
94364,蕭義龍,行銷部,changwanhshing@gmail.com
69604,郭夏澤,業務部,changwanhshing@gmail.com
92579,馮信文,人事部,changwanhshing@gmail.com
74919,余秋軍,總務部,changwanhshing@gmail.com
20900,謝嘉輝,品管部,changwanhshing@gmail.com
12888,曾春毅,行銷部,changwanhshing@gmail.com
58053,蔣惠棟,法務部,changwanhshing@gmail.com
50184,田晨勇,倉儲部,changwanhshing@gmail.com
91818,潘秀文,稽核部,changwanhshing@gmail.com
36994,馬宏明,生產部,changwanhshing@gmail.com
67777,呂秀娟,業務部,changwanhshing@gmail.com
79583,程晴浩,財務部,changwanhshing@gmail.com
67313,董秀輝,資訊部,changwanhshing@gmail.com
57873,余忠云,總務部,changwanhshing@gmail.com
87647,曹建博,財務部,changwanhshing@gmail.com
96784,許志麗,行銷部,changwanhshing@gmail.com
78335,田志毅,研發部,changwanhshing@gmail.com
64821,孫佳秀,人事部,changwanhshing@gmail.com
17410,袁宜洋,客服部,changwanhshing@gmail.com
74456,曹晴麗,資訊部,changwanhshing@gmail.com
71461,朱正麗,行銷部,changwanhshing@gmail.com
96103,楊俊靜,採購部,changwanhshing@gmail.com
27306,陳佳超,品管部,changwanhshing@gmail.com
14310,蔣家秀,企劃部,changwanhshing@gmail.com
83506,田麗傑,行銷部,changwanhshing@gmail.com
27656,余俊云,法務部,changwanhshing@gmail.com
17752,杜桂輝,總務部,changwanhshing@gmail.com
12581,韓淑龍,稽核部,changwanhshing@gmail.com
21059,呂偉雄,品管部,changwanhshing@gmail.com
26884,陳晨樺,財務部,changwanhshing@gmail.com
19569,魏晴文,品管部,changwanhshing@gmail.com
62770,鄭正宇,倉儲部,changwanhshing@gmail.com
99184,陳偉勇,財務部,changwanhshing@gmail.com
95726,程孝娟,總務部,changwanhshing@gmail.com
61083,蕭禮誠,稽核部,changwanhshing@gmail.com
94831,程宏靜,法務部,changwanhshing@gmail.com
19388,李佳澤,客服部,changwanhshing@gmail.com
77499,徐淑淵,研發部,changwanhshing@gmail.com
87677,蔣仁誠,客服部,changwanhshing@gmail.com
87741,羅慧云,倉儲部,changwanhshing@gmail.com
28550,梁信豪,企劃部,changwanhshing@gmail.com
42883,郭宏龍,倉儲部,changwanhshing@gmail.com
63229,馬雯洋,客服部,changwanhshing@gmail.com
65204,曹昊鳳,人事部,changwanhshing@gmail.com
69359,徐信文,研發部,changwanhshing@gmail.com
39709,徐志澤,品管部,changwanhshing@gmail.com
21732,謝偉宇,研發部,changwanhshing@gmail.com
64831,呂夏傑,採購部,changwanhshing@gmail.com
25794,孫景秀,資訊部,changwanhshing@gmail.com
99594,袁惠鳳,品管部,changwanhshing@gmail.com
88849,蔡文賢,稽核部,changwanhshing@gmail.com
54956,宋孝雄,生產部,changwanhshing@gmail.com
89688,田欣豪,稽核部,changwanhshing@gmail.com
51187,周景浩,採購部,changwanhshing@gmail.com
58193,馬仁賢,人事部,changwanhshing@gmail.com
87091,吳義達,倉儲部,changwanhshing@gmail.com
47322,彭嘉棟,業務部,changwanhshing@gmail.com
68656,董孝超,人事部,changwanhshing@gmail.com
17303,梁家林,行銷部,changwanhshing@gmail.com
91532,周義淵,業務部,changwanhshing@gmail.com
56687,胡雅林,採購部,changwanhshing@gmail.com
84596,余偉昇,法務部,changwanhshing@gmail.com
50042,蔣佳燕,稽核部,changwanhshing@gmail.com
18280,何家昇,業務部,changwanhshing@gmail.com
38707,彭志玲,研發部,changwanhshing@gmail.com
31310,曹禮雄,資訊部,changwanhshing@gmail.com
48288,吳慧軍,倉儲部,changwanhshing@gmail.com
82865,韓宏棟,品管部,changwanhshing@gmail.com
38663,李禮鳳,人事部,changwanhshing@gmail.com
29042,劉志勇,業務部,changwanhshing@gmail.com
10065,何忠輝,法務部,changwanhshing@gmail.com
73781,宋雯龍,人事部,changwanhshing@gmail.com
67261,葉桂浩,稽核部,changwanhshing@gmail.com
93214,蘇大雄,倉儲部,changwanhshing@gmail.com
95309,鄧冬鳳,生產部,changwanhshing@gmail.com
49376,梁秋燕,採購部,changwanhshing@gmail.com
76692,馮慧浩,客服部,changwanhshing@gmail.com
64225,李忠玲,人事部,changwanhshing@gmail.com
16219,葉欣龍,業務部,changwanhshing@gmail.com
21130,江惠文,生產部,changwanhshing@gmail.com
27284,郭秀敏,稽核部,changwanhshing@gmail.com
12189,林惠翔,採購部,changwanhshing@gmail.com
68411,葉信輝,品管部,changwanhshing@gmail.com
96726,王忠鳳,法務部,changwanhshing@gmail.com
41262,葉義林,生產部,changwanhshing@gmail.com
13518,謝志棟,企劃部,changwanhshing@gmail.com
44565,潘建敏,研發部,changwanhshing@gmail.com
29449,鄭淑淵,品管部,changwanhshing@gmail.com
